Date,Team,Division,Score,Opponent,Travel_km,Game_Status,Team_Status,Score_Type,Temp,Windspeed,Humidity,Visibility,Precipitation,Cast,Date_day,Total_Score
2019-07-28 14:00:00,Edinburgh Wolves,Premiership North,47,6,0,@ Home,W,Score @ Home,62.7,12.5,97.3,3.8,0.14,rain,2019-07-28,53
2019-06-07 15:00:00,Edinburgh Wolves,Premiership North,0,48,470,@ Away,L,Score @ Away,52.2,12.7,87.8,13.3,0.56,rain,2019-06-07,48
2019-06-30 14:00:00,Edinburgh Wolves,Premiership North,17,6,0,@ Home,W,Score @ Home,60.6,20.8,80.2,13.1,0.08,rain,2019-06-30,23
2019-06-23 14:00:00,Edinburgh Wolves,Premiership North,8,33,415,@ Away,L,Score @ Away,58.0,13.9,81.8,14.7,0.0,partly-cloudy-day,2019-06-23,41
2019-06-16 14:30:00,Edinburgh Wolves,Premiership North,0,10,495,@ Away,L,Score @ Away,55.8,13.4,81.3,19.4,0.06,rain,2019-06-16,10
2019-09-06 14:00:00,Edinburgh Wolves,Premiership North,12,33,0,@ Home,L,Score @ Home,56.3,21.4,78.1,14.1,0.02,rain,2019-09-06,45
2019-05-26 14:00:00,Edinburgh Wolves,Premiership North,0,14,337,@ Away,L,Score @ Away,57.9,20.3,80.5,17.7,0.1,rain,2019-05-26,14
2019-05-19 14:00:00,Edinburgh Wolves,Premiership North,0,50,0,@ Home,L,Score @ Home,53.4,9.9,86.4,18.4,0.04,rain,2019-05-19,50
2019-12-05 14:30:00,Edinburgh Wolves,Premiership North,14,33,320,@ Away,L,Score @ Away,42.3,29.9,85.7,13.0,0.0,partly-cloudy-day,2019-12-05,47
2019-05-05 14:00:00,Edinburgh Wolves,Premiership North,16,15,0,@ Home,W,Score @ Home,42.6,10.7,61.2,13.8,0.0,cloudy,2019-05-05,31
2019-07-28 14:00:00,Manchester Titans,Premiership North,17,21,0,@ Home,L,Score @ Home,58.1,12.7,98.2,6.8,1.37,rain,2019-07-28,38
2019-07-21 14:00:00,Manchester Titans,Premiership North,38,6,171,@ Away,W,Score @ Away,63.2,10.9,73.2,24.2,0.0,partly-cloudy-day,2019-07-21,44
2019-07-07 14:00:00,Manchester Titans,Premiership North,49,30,0,@ Home,W,Score @ Home,57.6,8.2,72.9,16.7,0.0,partly-cloudy-day,2019-07-07,79
2019-06-30 14:00:00,Manchester Titans,Premiership North,6,17,337,@ Away,L,Score @ Away,60.6,20.8,80.2,13.1,0.08,rain,2019-06-30,23
2019-06-23 15:00:00,Manchester Titans,Premiership North,43,30,0,@ Home,W,Score @ Home,60.2,12.8,75.2,18.9,0.0,partly-cloudy-day,2019-06-23,73
2019-06-15 16:00:00,Manchester Titans,Premiership North,21,0,154,@ Away,W,Score @ Away,53.9,13.4,83.1,19.1,0.1,rain,2019-06-15,21
2019-05-26 14:00:00,Manchester Titans,Premiership North,14,0,0,@ Home,W,Score @ Home,57.9,20.3,80.5,17.7,0.1,rain,2019-05-26,14
2019-05-19 14:30:00,Manchester Titans,Premiership North,33,50,50,@ Away,L,Score @ Away,53.6,11.3,82.6,21.2,0.0,partly-cloudy-day,2019-05-19,83
2019-12-05 14:00:00,Manchester Titans,Premiership North,6,0,75,@ Away,W,Score @ Away,36.1,24.6,90.9,10.4,0.0,partly-cloudy-day,2019-12-05,6
2019-05-05 15:00:00,Manchester Titans,Premiership North,49,16,0,@ Home,W,Score @ Home,41.1,13.2,72.3,20.2,0.0,partly-cloudy-day,2019-05-05,65
2019-07-28 14:00:00,Sheffield Giants,Premiership North,22,22,0,@ Home,T,Score @ Home,58.0,10.6,98.2,6.9,1.04,rain,2019-07-28,44
2019-07-07 14:00:00,Sheffield Giants,Premiership North,30,49,75,@ Away,L,Score @ Away,57.6,8.2,72.9,16.7,0.0,partly-cloudy-day,2019-07-07,79
2019-06-23 14:00:00,Sheffield Giants,Premiership North,33,8,0,@ Home,W,Score @ Home,58.0,13.9,81.8,14.7,0.0,partly-cloudy-day,2019-06-23,41
2019-06-16 14:30:00,Sheffield Giants,Premiership North,0,20,113,@ Away,L,Score @ Away,56.0,19.4,77.7,22.5,0.08,rain,2019-06-16,20
2019-09-06 14:00:00,Sheffield Giants,Premiership North,14,12,0,@ Home,W,Score @ Home,54.3,17.2,82.0,12.6,0.09,rain,2019-09-06,26
2019-05-25 16:00:00,Sheffield Giants,Premiership North,12,22,117,@ Away,L,Score @ Away,61.2,10.4,67.9,21.5,0.0,partly-cloudy-day,2019-05-25,34
2019-12-05 14:00:00,Sheffield Giants,Premiership North,0,6,0,@ Home,L,Score @ Home,36.1,24.6,90.9,10.4,0.0,partly-cloudy-day,2019-12-05,6
2019-05-05 14:00:00,Sheffield Giants,Premiership North,15,16,415,@ Away,L,Score @ Away,42.6,10.7,61.2,13.8,0.0,cloudy,2019-05-05,31
2019-04-21 14:00:00,Sheffield Giants,Premiership North,6,28,0,@ Home,L,Score @ Home,59.4,9.8,51.1,10.9,0.0,clear-day,2019-04-21,34
2019-04-14 14:00:00,Sheffield Giants,Premiership North,8,21,98,@ Away,L,Score @ Away,33.7,13.3,69.8,17.1,0.0,partly-cloudy-day,2019-04-14,29
2019-07-28 14:00:00,Merseyside Nighthawks,Premiership North,22,22,113,@ Away,T,Score @ Away,58.0,10.6,98.2,6.9,1.04,rain,2019-07-28,44
2019-07-21 14:30:00,Merseyside Nighthawks,Premiership North,6,30,0,@ Home,L,Score @ Home,64.6,17.7,74.2,24.3,0.0,partly-cloudy-day,2019-07-21,36
2019-07-07 14:30:00,Merseyside Nighthawks,Premiership North,50,0,0,@ Home,W,Score @ Home,58.6,10.8,75.0,18.3,0.0,clear-day,2019-07-07,50
2019-06-23 15:00:00,Merseyside Nighthawks,Premiership North,30,43,50,@ Away,L,Score @ Away,60.2,12.8,75.2,18.9,0.0,partly-cloudy-day,2019-06-23,73
2019-06-16 14:30:00,Merseyside Nighthawks,Premiership North,20,0,0,@ Home,W,Score @ Home,56.0,19.4,77.7,22.5,0.08,rain,2019-06-16,20
2019-09-06 14:00:00,Merseyside Nighthawks,Premiership North,33,12,320,@ Away,W,Score @ Away,56.3,21.4,78.1,14.1,0.02,rain,2019-09-06,45
2019-05-19 14:30:00,Merseyside Nighthawks,Premiership North,50,33,0,@ Home,W,Score @ Home,53.6,11.3,82.6,21.2,0.0,partly-cloudy-day,2019-05-19,83
2019-12-05 14:30:00,Merseyside Nighthawks,Premiership North,33,14,0,@ Home,W,Score @ Home,42.3,29.9,85.7,13.0,0.0,partly-cloudy-day,2019-12-05,47
2019-05-05 16:00:00,Merseyside Nighthawks,Premiership North,6,34,167,@ Away,L,Score @ Away,43.4,9.5,69.8,17.7,0.0,partly-cloudy-day,2019-05-05,40
2019-04-28 14:00:00,Merseyside Nighthawks,Premiership North,23,18,184,@ Away,W,Score @ Away,45.8,15.4,78.1,17.3,0.04,rain,2019-04-28,41
2019-07-28 14:00:00,Leicester Falcons,Premiership North,6,47,495,@ Away,L,Score @ Away,62.7,12.5,97.3,3.8,0.14,rain,2019-07-28,53
2019-07-21 14:00:00,Leicester Falcons,Premiership North,6,38,0,@ Home,L,Score @ Home,63.2,10.9,73.2,24.2,0.0,partly-cloudy-day,2019-07-21,44
2019-07-07 14:30:00,Leicester Falcons,Premiership North,0,50,184,@ Away,L,Score @ Away,58.6,10.8,75.0,18.3,0.0,clear-day,2019-07-07,50
2019-06-23 13:00:00,Leicester Falcons,Premiership North,7,28,0,@ Home,L,Score @ Home,60.6,11.6,80.6,15.0,0.0,partly-cloudy-day,2019-06-23,35
2019-06-16 14:30:00,Leicester Falcons,Premiership North,10,0,0,@ Home,W,Score @ Home,55.8,13.4,81.3,19.4,0.06,rain,2019-06-16,10
2019-09-06 14:00:00,Leicester Falcons,Premiership North,12,14,98,@ Away,L,Score @ Away,54.3,17.2,82.0,12.6,0.09,rain,2019-09-06,26
2019-01-06 18:00:00,Leicester Falcons,Premiership North,9,42,39,@ Away,L,Score @ Away,44.2,9.3,82.9,11.0,0.0,cloudy,2019-01-06,51
2019-05-05 15:00:00,Leicester Falcons,Premiership North,16,49,171,@ Away,L,Score @ Away,41.1,13.2,72.3,20.2,0.0,partly-cloudy-day,2019-05-05,65
2019-04-28 14:00:00,Leicester Falcons,Premiership North,18,23,0,@ Home,L,Score @ Home,45.8,15.4,78.1,17.3,0.04,rain,2019-04-28,41
2019-04-14 14:00:00,Leicester Falcons,Premiership North,21,8,0,@ Home,W,Score @ Home,33.7,13.3,69.8,17.1,0.0,partly-cloudy-day,2019-04-14,29
2019-07-28 14:00:00,Tamworth Phoenix,Premiership North,21,17,154,@ Away,W,Score @ Away,58.1,12.7,98.2,6.8,1.37,rain,2019-07-28,38
2019-07-21 14:30:00,Tamworth Phoenix,Premiership North,30,6,167,@ Away,W,Score @ Away,64.6,17.7,74.2,24.3,0.0,partly-cloudy-day,2019-07-21,36
2019-06-07 15:00:00,Tamworth Phoenix,Premiership North,48,0,0,@ Home,W,Score @ Home,52.2,12.7,87.8,13.3,0.56,rain,2019-06-07,48
2019-06-23 13:00:00,Tamworth Phoenix,Premiership North,28,7,39,@ Away,W,Score @ Away,60.6,11.6,80.6,15.0,0.0,partly-cloudy-day,2019-06-23,35
2019-06-15 16:00:00,Tamworth Phoenix,Premiership North,0,21,0,@ Home,L,Score @ Home,53.9,13.4,83.1,19.1,0.1,rain,2019-06-15,21
2019-01-06 18:00:00,Tamworth Phoenix,Premiership North,42,9,0,@ Home,W,Score @ Home,44.2,9.3,82.9,11.0,0.0,cloudy,2019-01-06,51
2019-05-25 16:00:00,Tamworth Phoenix,Premiership North,22,12,0,@ Home,W,Score @ Home,61.2,10.4,67.9,21.5,0.0,partly-cloudy-day,2019-05-25,34
2019-05-19 14:00:00,Tamworth Phoenix,Premiership North,50,0,470,@ Away,W,Score @ Away,53.4,9.9,86.4,18.4,0.04,rain,2019-05-19,50
2019-05-05 16:00:00,Tamworth Phoenix,Premiership North,34,6,0,@ Home,W,Score @ Home,43.4,9.5,69.8,17.7,0.0,partly-cloudy-day,2019-05-05,40
2019-04-21 14:00:00,Tamworth Phoenix,Premiership North,28,6,117,@ Away,W,Score @ Away,59.4,9.8,51.1,10.9,0.0,clear-day,2019-04-21,34
2019-07-28 14:30:00,Kent Exiles,Premiership South,19,0,0,@ Home,W,Score @ Home,64.3,13.4,73.0,25.0,0.0,partly-cloudy-day,2019-07-28,19
2019-07-21 15:30:00,Kent Exiles,Premiership South,0,42,26,@ Away,L,Score @ Away,65.2,13.1,69.0,25.4,0.0,clear-day,2019-07-21,42
2019-07-07 15:00:00,Kent Exiles,Premiership South,0,80,0,@ Home,L,Score @ Home,61.5,7.2,79.2,15.2,0.12,rain,2019-07-07,80
2019-06-30 14:00:00,Kent Exiles,Premiership South,8,28,0,@ Home,L,Score @ Home,66.8,13.7,67.8,18.5,0.0,clear-day,2019-06-30,36
2019-06-23 15:00:00,Kent Exiles,Premiership South,17,12,0,@ Home,W,Score @ Home,64.0,11.0,74.4,14.4,0.0,partly-cloudy-day,2019-06-23,29
2019-06-16 14:00:00,Kent Exiles,Premiership South,13,28,102,@ Away,L,Score @ Away,57.2,20.6,83.3,17.8,0.03,rain,2019-06-16,41
2019-05-26 14:00:00,Kent Exiles,Premiership South,6,71,13,@ Away,L,Score @ Away,61.8,15.0,75.3,25.6,0.01,rain,2019-05-26,77
2019-05-19 14:00:00,Kent Exiles,Premiership South,7,42,0,@ Home,L,Score @ Home,55.5,6.2,79.2,7.0,0.0,partly-cloudy-day,2019-05-19,49
2019-12-05 14:00:00,Kent Exiles,Premiership South,9,0,238,@ Away,W,Score @ Away,36.8,15.1,92.4,8.5,0.0,partly-cloudy-day,2019-12-05,9
2019-05-05 14:30:00,Kent Exiles,Premiership South,23,33,4,@ Away,L,Score @ Away,43.6,10.3,61.6,18.7,0.01,rain,2019-05-05,56
2019-07-28 14:00:00,Bristol Aztecs,Premiership South,0,55,0,@ Home,L,Score @ Home,63.1,14.6,69.6,20.7,0.0,partly-cloudy-day,2019-07-28,55
2019-07-21 14:00:00,Bristol Aztecs,Premiership South,30,0,0,@ Home,W,Score @ Home,62.7,11.6,77.7,24.7,0.0,partly-cloudy-day,2019-07-21,30
2019-07-07 14:30:00,Bristol Aztecs,Premiership South,11,10,240,@ Away,W,Score @ Away,62.1,7.4,77.3,15.4,0.15,rain,2019-07-07,21
2019-06-30 14:00:00,Bristol Aztecs,Premiership South,8,20,0,@ Home,L,Score @ Home,62.3,13.9,76.0,18.8,0.0,partly-cloudy-day,2019-06-30,28
2019-06-23 15:00:00,Bristol Aztecs,Premiership South,12,17,238,@ Away,L,Score @ Away,64.0,11.0,74.4,14.4,0.0,partly-cloudy-day,2019-06-23,29
2019-09-06 14:00:00,Bristol Aztecs,Premiership South,26,9,154,@ Away,W,Score @ Away,54.2,17.2,83.2,18.6,0.08,rain,2019-09-06,35
2019-02-06 14:00:00,Bristol Aztecs,Premiership South,36,20,0,@ Home,W,Score @ Home,42.6,12.1,92.3,8.4,0.25,rain,2019-02-06,56
2019-05-19 14:00:00,Bristol Aztecs,Premiership South,0,38,203,@ Away,L,Score @ Away,55.2,6.4,79.8,6.7,0.0,partly-cloudy-day,2019-05-19,38
2019-12-05 14:00:00,Bristol Aztecs,Premiership South,0,9,0,@ Home,L,Score @ Home,36.8,15.1,92.4,8.5,0.0,partly-cloudy-day,2019-12-05,9
2019-04-21 15:30:00,Bristol Aztecs,Premiership South,2,33,195,@ Away,L,Score @ Away,60.4,11.5,48.6,11.8,0.0,clear-day,2019-04-21,35
2019-07-28 13:30:00,London Blitz,Premiership South,15,14,0,@ Home,W,Score @ Home,65.3,13.9,70.6,25.2,0.0,clear-day,2019-07-28,29
2019-07-21 15:30:00,London Blitz,Premiership South,42,0,0,@ Home,W,Score @ Home,65.2,13.1,69.0,25.4,0.0,clear-day,2019-07-21,42
2019-06-30 14:00:00,London Blitz,Premiership South,20,8,195,@ Away,W,Score @ Away,62.3,13.9,76.0,18.8,0.0,partly-cloudy-day,2019-06-30,28
2019-06-23 16:00:00,London Blitz,Premiership South,7,54,0,@ Home,L,Score @ Home,65.2,13.1,71.6,14.6,0.0,clear-day,2019-06-23,61
2019-05-26 14:00:00,London Blitz,Premiership South,33,0,71,@ Away,W,Score @ Away,59.9,15.1,80.1,27.3,0.01,rain,2019-05-26,33
2019-05-19 14:00:00,London Blitz,Premiership South,42,7,26,@ Away,W,Score @ Away,55.5,6.2,79.2,7.0,0.0,partly-cloudy-day,2019-05-19,49
2019-12-05 14:30:00,London Blitz,Premiership South,21,14,25,@ Away,W,Score @ Away,36.6,16.5,90.2,7.8,0.01,rain,2019-12-05,35
2019-05-05 14:00:00,London Blitz,Premiership South,15,46,25,@ Away,L,Score @ Away,42.2,10.7,63.9,18.8,0.02,rain,2019-05-05,61
2019-04-28 13:30:00,London Blitz,Premiership South,41,0,0,@ Home,W,Score @ Home,48.7,14.7,64.3,23.1,0.01,rain,2019-04-28,41
2019-04-21 15:30:00,London Blitz,Premiership South,33,2,0,@ Home,W,Score @ Home,60.4,11.5,48.6,11.8,0.0,clear-day,2019-04-21,35
2019-07-28 14:00:00,London Warriors,Premiership South,55,0,203,@ Away,W,Score @ Away,63.1,14.6,69.6,20.7,0.0,partly-cloudy-day,2019-07-28,55
2019-07-21 14:00:00,London Warriors,Premiership South,58,0,0,@ Home,W,Score @ Home,63.6,12.5,72.8,26.2,0.0,partly-cloudy-day,2019-07-21,58
2019-07-07 15:00:00,London Warriors,Premiership South,80,0,13,@ Away,W,Score @ Away,61.5,7.2,79.2,15.2,0.12,rain,2019-07-07,80
2019-06-23 16:00:00,London Warriors,Premiership South,54,7,25,@ Away,W,Score @ Away,65.2,13.1,71.6,14.6,0.0,clear-day,2019-06-23,61
2019-06-16 14:30:00,London Warriors,Premiership South,54,7,16,@ Away,W,Score @ Away,58.6,17.6,78.6,18.2,0.07,rain,2019-06-16,61
2019-02-06 14:00:00,London Warriors,Premiership South,70,0,67,@ Away,W,Score @ Away,44.5,14.9,92.8,8.8,0.09,rain,2019-02-06,70
2019-05-26 14:00:00,London Warriors,Premiership South,71,6,0,@ Home,W,Score @ Home,61.8,15.0,75.3,25.6,0.01,rain,2019-05-26,77
2019-05-19 14:00:00,London Warriors,Premiership South,38,0,0,@ Home,W,Score @ Home,55.2,6.4,79.8,6.7,0.0,partly-cloudy-day,2019-05-19,38
2019-05-05 14:00:00,London Warriors,Premiership South,46,15,0,@ Home,W,Score @ Home,42.2,10.7,63.9,18.8,0.02,rain,2019-05-05,61
2019-04-21 14:00:00,London Warriors,Premiership South,85,0,0,@ Home,W,Score @ Home,59.2,8.3,51.5,12.9,0.0,clear-day,2019-04-21,85
2019-07-28 13:30:00,London Olympians,Premiership South,14,15,25,@ Away,L,Score @ Away,65.3,13.9,70.6,25.2,0.0,clear-day,2019-07-28,29
2019-07-21 14:00:00,London Olympians,Premiership South,0,58,16,@ Away,L,Score @ Away,63.6,12.5,72.8,26.2,0.0,partly-cloudy-day,2019-07-21,58
2019-07-07 14:30:00,London Olympians,Premiership South,10,11,0,@ Home,L,Score @ Home,62.1,7.4,77.3,15.4,0.15,rain,2019-07-07,21
2019-06-30 14:00:00,London Olympians,Premiership South,28,8,4,@ Away,W,Score @ Away,66.8,13.7,67.8,18.5,0.0,clear-day,2019-06-30,36
2019-06-23 14:30:00,London Olympians,Premiership South,68,6,0,@ Home,W,Score @ Home,64.6,11.4,73.1,14.4,0.0,partly-cloudy-day,2019-06-23,74
2019-06-16 14:30:00,London Olympians,Premiership South,7,54,0,@ Home,L,Score @ Home,58.6,17.6,78.6,18.2,0.07,rain,2019-06-16,61
2019-02-06 14:00:00,London Olympians,Premiership South,20,36,240,@ Away,L,Score @ Away,42.6,12.1,92.3,8.4,0.25,rain,2019-02-06,56
2019-05-19 14:00:00,London Olympians,Premiership South,39,13,104,@ Away,W,Score @ Away,54.3,10.1,80.5,12.0,0.0,partly-cloudy-day,2019-05-19,52
2019-12-05 14:30:00,London Olympians,Premiership South,14,21,0,@ Home,L,Score @ Home,36.6,16.5,90.2,7.8,0.01,rain,2019-12-05,35
2019-05-05 14:30:00,London Olympians,Premiership South,33,23,0,@ Home,W,Score @ Home,43.6,10.3,61.6,18.7,0.01,rain,2019-05-05,56
2019-07-28 14:30:00,Rushmoor Knights,Premiership South,0,19,102,@ Away,L,Score @ Away,64.3,13.4,73.0,25.0,0.0,partly-cloudy-day,2019-07-28,19
2019-07-21 14:00:00,Rushmoor Knights,Premiership South,0,30,154,@ Away,L,Score @ Away,62.7,11.6,77.7,24.7,0.0,partly-cloudy-day,2019-07-21,30
2019-06-23 14:30:00,Rushmoor Knights,Premiership South,6,68,104,@ Away,L,Score @ Away,64.6,11.4,73.1,14.4,0.0,partly-cloudy-day,2019-06-23,74
2019-06-16 14:00:00,Rushmoor Knights,Premiership South,28,13,0,@ Home,W,Score @ Home,57.2,20.6,83.3,17.8,0.03,rain,2019-06-16,41
2019-09-06 14:00:00,Rushmoor Knights,Premiership South,9,26,0,@ Home,L,Score @ Home,54.2,17.2,83.2,18.6,0.08,rain,2019-09-06,35
2019-02-06 14:00:00,Rushmoor Knights,Premiership South,0,70,0,@ Home,L,Score @ Home,44.5,14.9,92.8,8.8,0.09,rain,2019-02-06,70
2019-05-26 14:00:00,Rushmoor Knights,Premiership South,0,33,0,@ Home,L,Score @ Home,59.9,15.1,80.1,27.3,0.01,rain,2019-05-26,33
2019-05-19 14:00:00,Rushmoor Knights,Premiership South,13,39,0,@ Home,L,Score @ Home,54.3,10.1,80.5,12.0,0.0,partly-cloudy-day,2019-05-19,52
2019-04-28 13:30:00,Rushmoor Knights,Premiership South,0,41,71,@ Away,L,Score @ Away,48.7,14.7,64.3,23.1,0.01,rain,2019-04-28,41
2019-04-21 14:00:00,Rushmoor Knights,Premiership South,0,85,67,@ Away,L,Score @ Away,59.2,8.3,51.5,12.9,0.0,clear-day,2019-04-21,85
2019-07-28 14:00:00,Northumberland Vikings,NFC 1 North,16,6,0,@ Home,W,Score @ Home,63.4,11.4,97.2,5.1,0.02,rain,2019-07-28,22
2019-07-21 15:00:00,Northumberland Vikings,NFC 1 North,5,0,248,@ Away,W,Score @ Away,60.5,16.2,84.8,10.4,0.09,rain,2019-07-21,5
2019-07-07 16:00:00,Northumberland Vikings,NFC 1 North,22,0,0,@ Home,W,Score @ Home,52.4,11.4,82.0,6.2,0.0,partly-cloudy-day,2019-07-07,22
2019-06-30 12:00:00,Northumberland Vikings,NFC 1 North,42,0,252,@ Away,W,Score @ Away,59.3,21.3,83.1,7.1,0.1,rain,2019-06-30,42
2019-09-06 14:00:00,Northumberland Vikings,NFC 1 North,5,8,0,@ Home,L,Score @ Home,56.2,21.2,84.5,8.9,0.11,rain,2019-09-06,13
2019-05-26 13:45:00,Northumberland Vikings,NFC 1 North,10,6,179,@ Away,W,Score @ Away,64.6,16.7,73.1,26.1,0.0,cloudy,2019-05-26,16
2019-05-19 14:00:00,Northumberland Vikings,NFC 1 North,63,0,0,@ Home,W,Score @ Home,57.4,10.5,69.3,16.6,0.0,partly-cloudy-day,2019-05-19,63
2019-05-05 14:00:00,Northumberland Vikings,NFC 1 North,7,3,391,@ Away,W,Score @ Away,40.2,9.6,88.7,6.3,0.0,partly-cloudy-day,2019-05-05,10
2019-04-21 14:00:00,Northumberland Vikings,NFC 1 North,22,14,0,@ Home,W,Score @ Home,52.7,7.8,85.1,8.2,0.02,rain,2019-04-21,36
2019-04-14 14:00:00,Northumberland Vikings,NFC 1 North,24,0,19,@ Away,W,Score @ Away,38.6,12.8,68.7,10.8,0.0,partly-cloudy-day,2019-04-14,24
2019-07-28 13:45:00,Yorkshire Rams,NFC 1 North,15,12,0,@ Home,W,Score @ Home,60.3,11.9,95.7,5.1,0.71,rain,2019-07-28,27
2019-07-07 16:00:00,Yorkshire Rams,NFC 1 North,0,22,179,@ Away,L,Score @ Away,52.4,11.4,82.0,6.2,0.0,partly-cloudy-day,2019-07-07,22
2019-06-23 15:30:00,Yorkshire Rams,NFC 1 North,23,34,0,@ Home,L,Score @ Home,57.0,12.8,81.6,9.4,0.0,partly-cloudy-day,2019-06-23,57
2019-06-16 14:00:00,Yorkshire Rams,NFC 1 North,53,7,163,@ Away,W,Score @ Away,55.5,27.2,82.2,7.5,0.13,rain,2019-06-16,60
2019-01-06 12:00:00,Yorkshire Rams,NFC 1 North,2,0,580,@ Away,W,Score @ Away,34.7,13.7,71.3,10.0,0.0,partly-cloudy-day,2019-01-06,2
2019-05-26 13:45:00,Yorkshire Rams,NFC 1 North,6,10,0,@ Home,L,Score @ Home,64.6,16.7,73.1,26.1,0.0,cloudy,2019-05-26,16
2019-12-05 15:00:00,Yorkshire Rams,NFC 1 North,12,47,363,@ Away,L,Score @ Away,56.4,23.0,78.8,6.1,0.06,rain,2019-12-05,59
2019-05-05 13:45:00,Yorkshire Rams,NFC 1 North,22,6,0,@ Home,W,Score @ Home,57.4,23.5,83.0,8.3,0.17,rain,2019-05-05,28
2019-04-28 13:00:00,Yorkshire Rams,NFC 1 North,0,13,368,@ Away,L,Score @ Away,52.3,9.2,84.8,5.5,0.02,rain,2019-04-28,13
2019-04-20 16:00:00,Yorkshire Rams,NFC 1 North,0,42,0,@ Home,L,Score @ Home,42.6,30.4,90.7,6.1,0.54,rain,2019-04-20,42
2019-07-21 15:00:00,East Kilbride Pirates,NFC 1 North,0,5,0,@ Home,L,Score @ Home,60.5,16.2,84.8,10.4,0.09,rain,2019-07-21,5
2019-07-07 12:00:00,East Kilbride Pirates,NFC 1 North,53,14,258,@ Away,W,Score @ Away,52.7,10.5,80.9,9.4,0.0,partly-cloudy-day,2019-07-07,67
2019-06-30 16:00:00,East Kilbride Pirates,NFC 1 North,52,6,0,@ Home,W,Score @ Home,59.2,21.1,83.2,7.9,0.09,rain,2019-06-30,58
2019-06-23 15:30:00,East Kilbride Pirates,NFC 1 North,34,23,363,@ Away,W,Score @ Away,57.0,12.8,81.6,9.4,0.0,partly-cloudy-day,2019-06-23,57
2019-06-16 14:30:00,East Kilbride Pirates,NFC 1 North,39,7,0,@ Home,W,Score @ Home,54.7,15.0,74.5,9.8,0.0,partly-cloudy-day,2019-06-16,46
2019-09-06 14:00:00,East Kilbride Pirates,NFC 1 North,8,5,248,@ Away,W,Score @ Away,56.2,21.2,84.5,8.9,0.11,rain,2019-09-06,13
2019-02-06 15:00:00,East Kilbride Pirates,NFC 1 North,49,12,0,@ Home,W,Score @ Home,49.2,10.7,80.4,8.1,0.04,rain,2019-02-06,61
2019-05-19 12:00:00,East Kilbride Pirates,NFC 1 North,47,14,9,@ Away,W,Score @ Away,53.6,11.6,79.2,9.2,0.02,rain,2019-05-19,61
2019-12-05 15:00:00,East Kilbride Pirates,NFC 1 North,47,12,0,@ Home,W,Score @ Home,56.4,23.0,78.8,6.1,0.06,rain,2019-12-05,59
